agentId;configNumber;rounds;totalVictories;avgVictories;totalDeaths;avgDeaths;totalTimedout;avgTimedout;totalTimeSpent;avgTimeSpent;levelSeed;options
MarioAI;47;1;0;0.0;1;1.0;0;0.0;16;16.0;657928268; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 657928268
MarioAI;48;1;1;1.0;0;0.0;0;0.0;42;42.0;701225517; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 701225517
MarioAI;49;1;0;0.0;1;1.0;0;0.0;32;32.0;1992531023; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1992531023
MarioAI;50;1;1;1.0;0;0.0;0;0.0;44;44.0;551473885; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 551473885
MarioAI;51;1;1;1.0;0;0.0;0;0.0;44;44.0;999119518; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 999119518
MarioAI;52;1;1;1.0;0;0.0;0;0.0;42;42.0;801412283; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 801412283
MarioAI;53;1;0;0.0;1;1.0;0;0.0;32;32.0;500972148; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 500972148
MarioAI;54;1;0;0.0;1;1.0;0;0.0;20;20.0;114027063; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 114027063
MarioAI;55;1;1;1.0;0;0.0;0;0.0;38;38.0;467702150; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 467702150
MarioAI;56;1;0;0.0;1;1.0;0;0.0;45;45.0;1000037369; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1000037369
MarioAI;57;1;0;0.0;1;1.0;0;0.0;32;32.0;1063515516; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1063515516
MarioAI;58;1;1;1.0;0;0.0;0;0.0;39;39.0;981489155; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 981489155
MarioAI;59;1;0;0.0;1;1.0;0;0.0;15;15.0;1457540491; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1457540491
MarioAI;60;1;0;0.0;1;1.0;0;0.0;29;29.0;42222947; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 42222947
MarioAI;61;1;1;1.0;0;0.0;0;0.0;43;43.0;811728979; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 811728979
MarioAI;62;1;0;0.0;1;1.0;0;0.0;26;26.0;172696476; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 172696476
MarioAI;63;1;0;0.0;1;1.0;0;0.0;27;27.0;1278427740; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1278427740
MarioAI;64;1;0;0.0;1;1.0;0;0.0;27;27.0;45662226; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 45662226
MarioAI;65;1;1;1.0;0;0.0;0;0.0;46;46.0;531391469; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 531391469
MarioAI;66;1;0;0.0;1;1.0;0;0.0;19;19.0;1399162064; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1399162064
MarioAI;67;1;1;1.0;0;0.0;0;0.0;51;51.0;462029077; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 462029077
MarioAI;68;1;1;1.0;0;0.0;0;0.0;47;47.0;450872253; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 450872253
MarioAI;69;1;1;1.0;0;0.0;0;0.0;45;45.0;140719389; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 140719389
MarioAI;70;1;1;1.0;0;0.0;0;0.0;40;40.0;1493408245; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1493408245
MarioAI;71;1;0;0.0;1;1.0;0;0.0;33;33.0;1858271934; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1858271934
MarioAI;72;1;0;0.0;1;1.0;0;0.0;14;14.0;1062566624; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1062566624
MarioAI;73;1;0;0.0;1;1.0;0;0.0;23;23.0;1146012871; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1146012871
MarioAI;74;1;1;1.0;0;0.0;0;0.0;45;45.0;1323256128; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1323256128
MarioAI;75;1;1;1.0;0;0.0;0;0.0;41;41.0;233678618; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 233678618
MarioAI;76;1;0;0.0;1;1.0;0;0.0;30;30.0;151444542; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 151444542
MarioAI;77;1;0;0.0;1;1.0;0;0.0;38;38.0;976105017; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 976105017
MarioAI;78;1;1;1.0;0;0.0;0;0.0;41;41.0;550025047; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 550025047
MarioAI;79;1;1;1.0;0;0.0;0;0.0;43;43.0;613602210; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 613602210
MarioAI;80;1;1;1.0;0;0.0;0;0.0;45;45.0;2078861189; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 2078861189
MarioAI;81;1;1;1.0;0;0.0;0;0.0;45;45.0;217442262; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 217442262
MarioAI;82;1;0;0.0;1;1.0;0;0.0;34;34.0;1433220387; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1433220387
MarioAI;83;1;0;0.0;1;1.0;0;0.0;30;30.0;562323144; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 562323144
MarioAI;84;1;0;0.0;1;1.0;0;0.0;30;30.0;257587535; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 257587535
MarioAI;85;1;0;0.0;1;1.0;0;0.0;29;29.0;248789492; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 248789492
MarioAI;86;1;0;0.0;1;1.0;0;0.0;18;18.0;1547613930; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1547613930
MarioAI;87;1;0;0.0;1;1.0;0;0.0;35;35.0;1977017216; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1977017216
MarioAI;88;1;1;1.0;0;0.0;0;0.0;39;39.0;1681582674; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1681582674
MarioAI;89;1;1;1.0;0;0.0;0;0.0;44;44.0;2009841671; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 2009841671
MarioAI;90;1;0;0.0;1;1.0;0;0.0;17;17.0;1651714204; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1651714204
MarioAI;91;1;0;0.0;1;1.0;0;0.0;20;20.0;1087117573; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1087117573
MarioAI;92;1;0;0.0;1;1.0;0;0.0;36;36.0;1248783822; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1248783822
MarioAI;93;1;1;1.0;0;0.0;0;0.0;47;47.0;1242716157; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1242716157
MarioAI;94;1;0;0.0;1;1.0;0;0.0;41;41.0;1119105899; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1119105899
MarioAI;95;1;0;0.0;1;1.0;0;0.0;23;23.0;1167911637; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1167911637
MarioAI;96;1;1;1.0;0;0.0;0;0.0;43;43.0;355492685; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 355492685
MarioAI;97;1;0;0.0;1;1.0;0;0.0;31;31.0;1483023341; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1483023341
MarioAI;98;1;0;0.0;1;1.0;0;0.0;22;22.0;1804421280; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1804421280
MarioAI;99;1;0;0.0;1;1.0;0;0.0;13;13.0;964594944; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 964594944
MarioAI;100;1;0;0.0;1;1.0;0;0.0;34;34.0;169676683; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 169676683
MarioAI;101;1;0;0.0;1;1.0;0;0.0;37;37.0;1651016170; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1651016170
MarioAI;102;1;0;0.0;1;1.0;0;0.0;10;10.0;1798243758; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1798243758
MarioAI;103;1;1;1.0;0;0.0;0;0.0;47;47.0;1814958244; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1814958244
MarioAI;104;1;0;0.0;1;1.0;0;0.0;16;16.0;1841524915; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1841524915
MarioAI;105;1;1;1.0;0;0.0;0;0.0;46;46.0;724901437; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 724901437
MarioAI;106;1;0;0.0;1;1.0;0;0.0;10;10.0;956056959; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 956056959
MarioAI;107;1;0;0.0;1;1.0;0;0.0;23;23.0;671235248; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 671235248
MarioAI;108;1;0;0.0;1;1.0;0;0.0;11;11.0;1085022666; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1085022666
MarioAI;109;1;0;0.0;1;1.0;0;0.0;32;32.0;748782515; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 748782515
MarioAI;110;1;0;0.0;1;1.0;0;0.0;23;23.0;2009494295; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 2009494295
MarioAI;111;1;0;0.0;1;1.0;0;0.0;20;20.0;272346863; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 272346863
