agentId;configNumber;repetitions;simulationNumber;levelSeed;result;marioMode;timeLeft;timeSpent;marioStatus;distancePassedCells;distancePassedPhys;flowersDevoured;killsByFire;killsByShell;killsByStomp;killsTotal;mushroomsDevoured;greenMushroomsDevoured;coinsGained;hiddenBlocksFound;totalNumberOfCoins;totalNumberOfHiddenBlocks;totalNumberOfMushrooms;totalNumberOfFlowers;totalNumberOfCreatures;levelLength;collisionsWithCreatures
MarioAI;58;1;58;981489155;VICTORY;FIRE_LARGE;160;39;1;256;4096;0;14;0;2;16;0;0;0;0;0;0;0;0;39;256;0
MarioAI;59;1;59;1457540491;MARIO_DIED;SMALL;184;15;0;96;1548;0;0;0;0;0;0;0;0;0;0;0;0;0;40;256;3
MarioAI;60;1;60;42222947;MARIO_DIED;SMALL;170;29;0;158;2536;0;1;0;0;1;0;0;0;0;0;0;0;0;38;256;3
MarioAI;61;1;61;811728979;VICTORY;SMALL;157;43;1;256;4096;0;11;0;1;12;0;0;0;0;0;0;0;0;44;256;2
MarioAI;62;1;62;172696476;MARIO_DIED;SMALL;173;26;0;167;2672;0;2;0;0;2;0;0;0;0;0;0;0;0;42;256;3
MarioAI;63;1;63;1278427740;MARIO_DIED;SMALL;172;27;0;130;2080;0;5;0;1;6;0;0;0;0;0;0;0;0;44;256;3
MarioAI;64;1;64;45662226;MARIO_DIED;SMALL;172;27;0;142;2279;0;2;0;1;3;0;0;0;0;0;0;0;0;46;256;3
MarioAI;65;1;65;531391469;VICTORY;LARGE;153;46;1;256;4096;0;2;0;1;3;0;0;0;0;0;0;0;0;40;256;1
MarioAI;66;1;66;1399162064;MARIO_DIED;SMALL;180;19;0;92;1483;0;1;0;0;1;0;0;0;0;0;0;0;0;46;256;3
MarioAI;67;1;67;462029077;VICTORY;SMALL;148;51;1;256;4096;0;3;0;2;5;0;0;0;0;0;0;0;0;44;256;2
MarioAI;68;1;68;450872253;VICTORY;SMALL;152;47;1;256;4096;0;2;0;4;6;0;0;0;0;0;0;0;0;42;256;2
MarioAI;69;1;69;140719389;VICTORY;SMALL;154;45;1;256;4096;0;3;0;2;5;0;0;0;0;0;0;0;0;41;256;2
MarioAI;70;1;70;1493408245;VICTORY;SMALL;159;40;1;256;4096;0;3;0;2;5;0;0;0;0;0;0;0;0;42;256;2
MarioAI;71;1;71;1858271934;MARIO_DIED;SMALL;166;33;0;189;3039;0;0;0;2;2;0;0;0;0;0;0;0;0;40;256;3
MarioAI;72;1;72;1062566624;MARIO_DIED;SMALL;185;14;0;81;1304;0;2;0;1;3;0;0;0;0;0;0;0;0;46;256;3
MarioAI;73;1;73;1146012871;MARIO_DIED;SMALL;176;23;0;144;2311;0;4;0;3;7;0;0;0;0;0;0;0;0;39;256;3
MarioAI;74;1;74;1323256128;VICTORY;SMALL;154;45;1;256;4096;0;1;0;2;3;0;0;0;0;0;0;0;0;40;256;2
MarioAI;75;1;75;233678618;VICTORY;SMALL;158;41;1;256;4096;0;2;0;0;2;0;0;0;0;0;0;0;0;40;256;2
MarioAI;76;1;76;151444542;MARIO_DIED;SMALL;169;30;0;163;2612;0;3;0;2;5;0;0;0;0;0;0;0;0;47;256;3
MarioAI;77;1;77;976105017;MARIO_DIED;SMALL;162;38;0;180;2882;0;1;0;1;2;0;0;0;0;0;0;0;0;41;256;3
MarioAI;78;1;78;550025047;VICTORY;LARGE;158;41;1;256;4096;0;5;0;0;5;0;0;0;0;0;0;0;0;42;256;1
MarioAI;79;1;79;613602210;VICTORY;LARGE;156;43;1;256;4096;0;4;0;4;8;0;0;0;0;0;0;0;0;36;256;1
MarioAI;80;1;80;2078861189;VICTORY;SMALL;154;45;1;256;4096;0;5;0;3;8;0;0;0;0;0;0;0;0;32;256;2
MarioAI;81;1;81;217442262;VICTORY;LARGE;154;45;1;256;4096;0;7;0;4;11;0;0;0;0;0;0;0;0;44;256;1
MarioAI;82;1;82;1433220387;MARIO_DIED;SMALL;165;34;0;202;3242;0;3;0;4;7;0;0;0;0;0;0;0;0;45;256;3
MarioAI;83;1;83;562323144;MARIO_DIED;SMALL;169;30;0;173;2769;0;4;0;1;5;0;0;0;0;0;0;0;0;48;256;3
MarioAI;84;1;84;257587535;MARIO_DIED;SMALL;169;30;0;183;2937;0;5;0;0;5;0;0;0;0;0;0;0;0;35;256;3
MarioAI;85;1;85;248789492;MARIO_DIED;SMALL;171;29;0;167;2687;0;9;0;0;9;0;0;0;0;0;0;0;0;43;256;3
MarioAI;86;1;86;1547613930;MARIO_DIED;SMALL;181;18;0;110;1768;0;5;0;1;6;0;0;0;0;0;0;0;0;39;256;3
MarioAI;87;1;87;1977017216;MARIO_DIED;SMALL;164;35;0;186;2987;0;0;0;2;2;0;0;0;0;0;0;0;0;39;256;3
MarioAI;88;1;88;1681582674;VICTORY;SMALL;160;39;1;256;4096;0;1;0;2;3;0;0;0;0;0;0;0;0;44;256;2
MarioAI;89;1;89;2009841671;VICTORY;SMALL;155;44;1;256;4096;0;2;0;2;4;0;0;0;0;0;0;0;0;43;256;2
MarioAI;90;1;90;1651714204;MARIO_DIED;SMALL;182;17;0;106;1706;0;2;0;1;3;0;0;0;0;0;0;0;0;45;256;3
MarioAI;91;1;91;1087117573;MARIO_DIED;SMALL;179;20;0;127;2037;0;2;0;1;3;0;0;0;0;0;0;0;0;40;256;3
MarioAI;92;1;92;1248783822;MARIO_DIED;SMALL;163;36;0;231;3705;0;7;0;2;9;0;0;0;0;0;0;0;0;39;256;3
MarioAI;93;1;93;1242716157;VICTORY;SMALL;152;47;1;256;4096;0;5;0;2;7;0;0;0;0;0;0;0;0;40;256;2
MarioAI;94;1;94;1119105899;MARIO_DIED;SMALL;158;41;0;236;3786;0;2;0;7;9;0;0;0;0;0;0;0;0;46;256;3
MarioAI;95;1;95;1167911637;MARIO_DIED;SMALL;176;23;0;138;2213;0;3;0;2;5;0;0;0;0;0;0;0;0;35;256;3
MarioAI;96;1;96;355492685;VICTORY;SMALL;156;43;1;256;4096;0;3;0;1;4;0;0;0;0;0;0;0;0;44;256;2
MarioAI;97;1;97;1483023341;MARIO_DIED;SMALL;168;31;0;187;2992;0;2;0;0;2;0;0;0;0;0;0;0;0;44;256;3
MarioAI;98;1;98;1804421280;MARIO_DIED;SMALL;177;22;0;144;2306;0;2;0;0;2;0;0;0;0;0;0;0;0;41;256;3
MarioAI;99;1;99;964594944;MARIO_DIED;SMALL;186;13;0;68;1099;0;3;0;1;4;0;0;0;0;0;0;0;0;42;256;3
MarioAI;100;1;100;169676683;MARIO_DIED;SMALL;165;34;0;217;3472;0;2;0;1;3;0;0;0;0;0;0;0;0;43;256;3
MarioAI;101;1;101;1651016170;MARIO_DIED;SMALL;162;37;0;213;3414;0;7;0;0;7;0;0;0;0;0;0;0;0;44;256;3
MarioAI;102;1;102;1798243758;MARIO_DIED;SMALL;189;10;0;75;1211;0;3;0;0;3;0;0;0;0;0;0;0;0;42;256;3
MarioAI;103;1;103;1814958244;VICTORY;LARGE;152;47;1;256;4096;0;2;0;2;4;0;0;0;0;0;0;0;0;42;256;1
MarioAI;104;1;104;1841524915;MARIO_DIED;SMALL;183;16;0;99;1599;0;1;0;0;1;0;0;0;0;0;0;0;0;44;256;3
MarioAI;105;1;105;724901437;VICTORY;LARGE;153;46;1;256;4096;0;9;0;2;11;0;0;0;0;0;0;0;0;38;256;1
MarioAI;106;1;106;956056959;MARIO_DIED;SMALL;189;10;0;61;982;0;1;0;0;1;0;0;0;0;0;0;0;0;44;256;3
MarioAI;107;1;107;671235248;MARIO_DIED;SMALL;176;23;0;138;2209;0;1;0;2;3;0;0;0;0;0;0;0;0;44;256;3
MarioAI;108;1;108;1085022666;MARIO_DIED;SMALL;189;11;0;58;937;0;0;0;1;1;0;0;0;0;0;0;0;0;39;256;3
MarioAI;109;1;109;748782515;MARIO_DIED;SMALL;167;32;0;187;2997;0;5;0;3;8;0;0;0;0;0;0;0;0;42;256;3
MarioAI;110;1;110;2009494295;MARIO_DIED;SMALL;177;23;0;138;2222;0;4;0;2;6;0;0;0;0;0;0;0;0;43;256;3
MarioAI;111;1;111;272346863;MARIO_DIED;SMALL;180;20;0;105;1691;0;3;0;1;4;0;0;0;0;0;0;0;0;41;256;3
MarioAI;112;1;112;1288798574;MARIO_DIED;SMALL;171;28;0;158;2535;0;4;0;0;4;0;0;0;0;0;0;0;0;40;256;3
MarioAI;113;1;113;417975890;MARIO_DIED;SMALL;163;36;0;210;3369;0;0;0;2;2;0;0;0;0;0;0;0;0;41;256;3
MarioAI;114;1;114;1004794200;MARIO_DIED;SMALL;174;25;0;159;2552;0;9;0;0;9;0;0;0;0;0;0;0;0;43;256;3
MarioAI;115;1;115;692554057;VICTORY;SMALL;157;43;1;256;4096;0;6;0;0;6;0;0;0;0;0;0;0;0;37;256;2
MarioAI;116;1;116;1147047876;VICTORY;SMALL;159;40;1;256;4096;0;9;0;2;11;0;0;0;0;0;0;0;0;37;256;2
MarioAI;117;1;117;575497265;MARIO_DIED;SMALL;185;14;0;90;1445;0;1;0;1;2;0;0;0;0;0;0;0;0;42;256;3
MarioAI;118;1;118;1738845215;VICTORY;FIRE_LARGE;160;39;1;256;4096;0;10;0;1;11;0;0;0;0;0;0;0;0;37;256;0
MarioAI;119;1;119;120139586;MARIO_DIED;SMALL;171;29;0;186;2985;0;0;0;0;0;0;0;0;0;0;0;0;0;39;256;3
MarioAI;120;1;120;849950631;MARIO_DIED;SMALL;175;24;0;135;2174;0;4;0;1;5;0;0;0;0;0;0;0;0;41;256;3
MarioAI;121;1;121;123001001;VICTORY;SMALL;153;46;1;256;4096;0;9;0;1;10;0;0;0;0;0;0;0;0;41;256;2
MarioAI;122;1;122;1280714395;MARIO_DIED;SMALL;188;11;0;64;1030;0;1;0;0;1;0;0;0;0;0;0;0;0;40;256;3
MarioAI;123;1;123;243521478;MARIO_DIED;SMALL;168;31;0;194;3115;0;3;0;1;4;0;0;0;0;0;0;0;0;46;256;3
MarioAI;124;1;124;518747940;VICTORY;LARGE;156;44;1;256;4096;0;8;0;0;8;0;0;0;0;0;0;0;0;41;256;1
MarioAI;125;1;125;418405800;VICTORY;SMALL;158;41;1;256;4096;0;8;0;3;11;0;0;0;0;0;0;0;0;43;256;2
MarioAI;126;1;126;1598659286;MARIO_DIED;SMALL;163;36;0;197;3163;0;5;0;1;6;0;0;0;0;0;0;0;0;41;256;3
MarioAI;127;1;127;2097477418;MARIO_DIED;SMALL;186;13;0;85;1362;0;1;0;0;1;0;0;0;0;0;0;0;0;45;256;3
MarioAI;128;1;128;1887574830;MARIO_DIED;SMALL;162;37;0;212;3403;0;0;0;4;4;0;0;0;0;0;0;0;0;43;256;3
MarioAI;129;1;129;1740728165;MARIO_DIED;SMALL;152;47;0;224;3598;0;1;0;1;2;0;0;0;0;0;0;0;0;40;256;3
MarioAI;130;1;130;1046740627;VICTORY;FIRE_LARGE;157;42;1;256;4096;0;14;0;1;15;0;0;0;0;0;0;0;0;40;256;0
MarioAI;131;1;131;175949162;MARIO_DIED;SMALL;167;32;0;189;3034;0;3;0;2;5;0;0;0;0;0;0;0;0;43;256;3
MarioAI;132;1;132;1303315085;VICTORY;SMALL;157;42;1;256;4096;0;6;0;0;6;0;0;0;0;0;0;0;0;40;256;2
MarioAI;133;1;133;1978164795;VICTORY;SMALL;159;40;1;256;4096;0;0;0;1;1;0;0;0;0;0;0;0;0;39;256;2
MarioAI;134;1;134;1340670300;VICTORY;LARGE;161;38;1;256;4096;0;8;0;2;10;0;0;0;0;0;0;0;0;37;256;1
MarioAI;135;1;135;1694655670;MARIO_DIED;SMALL;177;22;0;134;2150;0;4;0;2;6;0;0;0;0;0;0;0;0;41;256;3
MarioAI;136;1;136;1799887891;MARIO_DIED;SMALL;180;19;0;114;1824;0;3;0;0;3;0;0;0;0;0;0;0;0;35;256;3
MarioAI;137;1;137;1289337549;MARIO_DIED;SMALL;153;46;0;219;3505;0;7;0;3;10;0;0;0;0;0;0;0;0;41;256;3
MarioAI;138;1;138;716134362;MARIO_DIED;SMALL;169;30;0;188;3018;0;4;0;0;4;0;0;0;0;0;0;0;0;38;256;3
MarioAI;139;1;139;1414884403;MARIO_DIED;SMALL;180;19;0;118;1894;0;2;0;0;2;0;0;0;0;0;0;0;0;42;256;3
MarioAI;140;1;140;614175762;VICTORY;SMALL;155;44;1;256;4096;0;1;0;3;4;0;0;0;0;0;0;0;0;40;256;2
MarioAI;141;1;141;692799600;VICTORY;FIRE_LARGE;154;45;1;256;4096;0;15;0;2;17;0;0;0;0;0;0;0;0;44;256;0
